gt,hyp
قلت لي إصابة padel أجل yeah, قلت لي صابة بادي لأجل يعني
وش علاقتك مع الرياضة أشوفك تلعب تنس مع الأمير عبدالعزيز الفيصل رئيس اتحاد الغولف والحين padel وش قصتك مع الرياضة, what s your relationship with riyadhah i see you playing tennis with amelie addyz faisal and the golf ball and the paddel what s your relationship with riyadhah 
كان فيه الصالات اللي موجودة وجايبين معاهم اعتقد united states sports academy مدربين في كل أنواع الرياضة, كان في الصلاة الموجودة وجايبين معاهم اعتقد يونيت ستات سبورتس اكاديمي مدربين في كل انواع الرياضة
انا was fortunate enough محظوظ جدا انه كان عندنا access للوالد كان ضابط متقاعد, أنا وز فورتينيثناف يعني محظوظ جدا إنه كان عندنا أكساس لأن الوارد كان ضابط من القائد
ندور لهم على sports مافيها يعني أقل احتكاك جسدي او يعني مافيه إصابات وذا, مدور لهم على سبورتس ما فيها يعني اقل احتكاك جاسديم أو يعني ما فيها صافاتو ذاه
وبدينا من هناك بديت معاهم اروح معاهم كل weekend وذا, وبدأنا من هناك بدأت معهم أروح معهم كل weekend
إعاقة او handicap,
فكيف تقدر كل مرة تفوز على نفسك او على الإعاقة حقتك او الhandicap حقك, فكيف تقدر كل مرة تفوز على نفسك أو على الإعاقة حقتك أو الهانديكاب حقي
الجديدة القديمة نسبيا ايه هل لسا تلاقي وقت للرياضة yeah, الجديدة القديمة نسبيا هل لست تلاقي وقت للرياضة نعم
اذا احد اتصل علي ok تعال خلن نجلس نتقابل فا its, إذا احد تصل علي أوكي تعال خلن نجس نتقابل فـ
its part of my life الان والعائلة هذا أفضل ما في الموضوع انهم متفهمين ومقدرين الكلام هذا, part of my life الآن والآلة هذا أصلا ما في الموضوع أنه متفهمين ومقدرين الكلام هذا
ال حتى الsocial activities اللي تكون موجودة العائلة يكونوا معي, حتى السوشال اكتيبيتيز اللي تكون موجودة العائلة يكونوا معي
فيها ويكون فيها business فا يعني صار جزء من نمط الحياة ايه صار جزء من اء أصلا لو ما سويت شيء زي كذا احس انه فيه, فيها ويكونون فيها بيزنس صار الجزء من نمط الحياة اصلا لو ما سوا شيئ زي كدا حاس انه في
صحيح فيه شيء ناقص فا its part of it حنا أبو فيصل سعداء نستضيفك بصفتك المحافظ لصندوق الاستثمارات العامة, صحيح فإنس ملتا حنابو فيصل سعدان اسطريفك بصفرتك المحافظ لصندق السمارات العامة
denmo denmo الحراك حق التحول الاقتصادي فالسعودية من الفين وخمس طعش إلى اليوم, الدينامو الحراك حق التحول الاقتصادي في السعودية من 2015 إلى اليوم
اء كنت الرئيس التنفيذي للسعودي الفرنسي capital وقبلها كنت, كنت رئيس تنفيذي للسعود الفرنسي وقبلها كنت
رحت للديوان and it wasnt للصندوق الاستثمارات العامة, رحل الديوان متوازنت للسندوق الاستمرارات الأهمة
i was brought in على شان التأسيس مركز اتخاذ دعم القرار, i was brought in علشان تأسيس مركز إتخاذ دعم القرار
كانت فكرة سمو الأمير انه معظم القرارات اللي تكون موجودة based على الopinion على الرأي, كانت فكرة سمو الأمير إنه معظم القرارات اللي تكون موجودة باست على الأبنين على الرأي
وليست based على الأدلة او الevidence, وليست بيس على الأدلة أو الأفيدنس
فا عطانا الرؤية حقته وسألته يعني انا ما ما اشتغلت ايش علاقة banker في مركز دعم اتخاذ القرار فقال لأنه الbankers, فعطان الرؤية حقته وسألت يعني أنا ما مشتغلت فيهش في شلقة بانكر في مركز داكس خذقرا فقال إلي أن البانكرس
ما يستخدموا فقط الرأي انه my gut feeling انه to go and buy this ولا سوا كذا, ما يستخدم فقط الرائي my god feeling to go and buy this ولا اسوى كبه
السعودي الفرنسي capital معروف يعني كان الأول ما أحد يعرفه, السعود الفرنسي كابتل معروف يعني كان الاول ما احد يعرفه
وسوينا فيها كمان يعني الdeals, وسونا فيه كمان يعني deals
فا كنا access نعطي access للclients حقينا, فكنا نعطي اكسز للكلينتس حقيقين
لأنه يدخلوا مثلا مع black rock مع كل ال اء, لأنه يدخلوا مثلا مع بلاك روك مع كل
كان بالنسبة ibos قبلها ال كان سوق الأسهم, كان بالنسبة للآي بيواز قبل هالكان سوق الاسهم
الظاهر سبعين شركة يوم طلعت كان مية وأربعين شركة so double dub القيمة السوقية كمان كبرت, 71 شركة يوم طلعت كان 140 شركة saw double dub القيمة السوقية كمان كبرت
كنت كمان المسؤول عن الmna activities اللي هي الاندماج و الاستحواذ الاستحواذ كنت مسؤول عن, كنت كمان مسؤول عن الـ m a activities اللي هي الاندماج والاستحواذ كنت مسؤول عن
يعني زي ال reits اللي هي الصناديق العقارية كانت معي كان معي برضو, يعني زي الريتز اللي هي السندق الاعتارية كان معي برضو
اء ال accessibility للمستثمرين الأجانب فالسوق السعودي, الاجتماعي للمستثمرين الجانب في السوق السعودي
اء يعني كان بالنسبة للsystems وكيف تسويها او الprocesses ومن الكلام ذا, ان كان بالنسبة لل systems وكيف تسويها والprocesses ومن الكلام ده
so بعد شهر من بداياتي مع ال مع الديوان, سو بعد شهر من بدايتي مع الديوان
لكن وفالقروض وفي أشياء كثيرة من النواحي التنموية وليست كا sovereign wealth fund, لكن في القروض وفي اشياء كثيرة من النواحي التنمويه وليست كـ sovereign wealth fund
فقلت له ok تكلمت مع اء هيئة السوق المالية قلت لهم عطوني ال اء أسماء, فقلت رو اكيد كلمت مع الهاية السوق المارية قلت له معطوني الأسماء
وجبت يعني جبت الأسماء كاملة والملفات and everything, وجبت يعني جبت الأسماء كاملو والملفات and everything
و i was going through the names يعني و name by name فا ما كان مقتنع بشكل كامل بمعظم الأسماء قال لا جيب لي أحد ثاني, i was going through the names يعني name by name فما كان مقتنع بشكل كامل بمعظم الأسماء يلا أجيب لي أحد ثاني
and we were going through everything وش كان وش كان محتوى هذاك الاجتماع ال اء المحتوى حطينا يعني الblueprint, وش كان محتوي ذاك الاجتماع المحتوي حطينا البلوبرينت
الان اء وش كانت رؤيته في ذيك اللحظة حنا نتكلم على الفين وخمسطعش لسى قبل ما الناس تدري عن الصندوق الفين وخمسطعش again سمو الأمير اعتمد على معلومات اكثر من رأي, وش كانت رؤيته في ذيك اللحظة هل نتحدث عن 2015 لسا قد ما الناس تديعن السلوء اه في 2015 again سمو الأمير يعتمد على المعلومات أكثر من الرأي
so اول شيء سويناه, so أول شيء سوانا
فحص كامل diagnostic,
ايش هي الpros الcons الأشياء اللي نسويها الأشياء اللي ما نسويها هذا رقم واحد, اشي الـ pros cons الأشيال اللي نسويها الأشيال المنسوية هذا راقم واحد
رقم اثنين benchmark,
الsovereign wealth funds فالعالم يسوونه, فالعالم يسوون
so اول صندوق sovereign wealth funds فالعالم كان صندوق ال ال اللي هو الكويت, so أول صندوق سورة موظفا في العالم كان صندوق اللي هو الكويت
norges bankالأقدم الكويتي الاقدم الكويتي مثل ال norges bank الاستراتيجية حقته, الأقدم الكويتي الأقدم الكويتي مثلا النورجس بانك الاستراتيجية حقته
صندوق واحد passive invisment ايش يعني passive يعني يجي يشتري يقول ابغى خمسة بالمية من الpublic market اللي موجودة فالعالم, passive investment إيش يعني passive يعني يجي يشتري يقول أبغى 5 من الـ public markets اللي موجودة في العالم
لقينا انه ال اء المملكة او sovereign wealth funds بحاجة الى at least six pools of investments, لقائنا ان المملكة او sovereign wealth fund بحاجة الى at least six pools of investments
نبغى اول شيء saudi equity اللي هو نملكه الان يعني في الفين وخمس طعش, نبغى اول شيء الصادعيكوتي اللي هو النملك الآن يعني في 2015
هذا one pool, هذا وانبور
second pool is sectors اللي كانت موجودة فالمملكة كثير منها either غير موجودة او dormant, second pool is sectors اللي كانت موجودة في المملكة كثير منها either غير موجودة أو dormant
او انها تعبانه either تعبانه لانه مافيه, أو إنها تعبانة أيضا تعبانة لأنه ما في
استثمار كامل او regulations ضد تطوير الsectors هذي او ما فيه regulations من الأساس تسمح بالدخول فيها excactly, استثمار كامل أو regulations ضد تطوير السكترز هذه أو ما في regulations من الأساس للسكترز exactly
الpool الثالث اللي هو الطابع العقاري giga projects, البول الثالث اللي هو اللوت الطابع العقاري giga projects
موجود ففكره neom موجود القدية موجود الred sea موجود roshen موجود كل الأشياء هذا فالفكر اللي موجود عنده والرؤية اللي موجودة عنده, موجود الريتسي موجود روشن موجود كل أشياء هذا في الفكر اللي موجود عنده والرؤية اللي موجودة عنده
فا سويناها محفظة او pool, فسوناها محفظة أو بطول
مشاريع الكبرى مشاريع الكبرى giga projects حتى الاسم giga يعني قلنا أول شيء mega ايه mega موجودة فكل مكان أي مشروع كبير, مشاريع الكبرى شريع الكبرى حتى الاسم جايجا يعني قلنا هو سين ميغا ميغا موجودة في كل مكان أي مشروع كبير
يسمونه mega projects,
it s not this is giga this is like an eco system كامل, it s not this is giga this is like an ecosystem kamil
الشيء الثالث اللي هو الreal estate والinfastructure, شيء الثالث اللي هو الريلستيت والإنفراسركتور
