gt,hyp
قلت لي إصابة padel أجل yeah, i said you re getting the result of this 
وش علاقتك مع الرياضة أشوفك تلعب تنس مع الأمير عبدالعزيز الفيصل رئيس اتحاد الغولف والحين padel وش قصتك مع الرياضة, وش علاقتك مع الرياضة أشوفك تلعب تنس مع لميل عديز فيصل واستحاد القولف والحين بادل وش قصتك مع الرياضة 
كان فيه الصالات اللي موجودة وجايبين معاهم اعتقد united states sports academy مدربين في كل أنواع الرياضة, كان في الصلاة الموجودة وجايبين معاهم أعتقد يونيت ستيت سبورتس اكادمي مدربين في كل أنواع الرياضة
انا was fortunate enough محظوظ جدا انه كان عندنا access للوالد كان ضابط متقاعد, وقد كانت محظوظ جدا أنه كان عندنا أكسز لأن الوارد كان ضابط من القائد
ندور لهم على sports مافيها يعني أقل احتكاك جسدي او يعني مافيه إصابات وذا, ندور لهم على سبورتس ما فيها يعني أقل احتكاك جسدي أو يعني ما فيها صفات هذا
وبدينا من هناك بديت معاهم اروح معاهم كل weekend وذا, وبدأنا من هناك بدأت معاهم اروح معاهم كل ويكند
إعاقة او handicap, دعاقة أو هانديكاب
فكيف تقدر كل مرة تفوز على نفسك او على الإعاقة حقتك او الhandicap حقك, فكيف تقدر كل مرة تفوز على نفسك أو على الإعاقة حقاتك أو الهانديكاب حقي
الجديدة القديمة نسبيا ايه هل لسا تلاقي وقت للرياضة yeah, الجديد القديمة نسبيا هل لست تلاقي وقت للرياضة 
اذا احد اتصل علي ok تعال خلن نجلس نتقابل فا its, إذا أحد تصل علي أوكي تعال خلن نجس نتقابل
its part of my life الان والعائلة هذا أفضل ما في الموضوع انهم متفهمين ومقدرين الكلام هذا, وعلى عملية حياتي الآن والآلة هذا أصلا في الموضوع إنه متفهمين ومقدرين الكلام هذا
ال حتى الsocial activities اللي تكون موجودة العائلة يكونوا معي, حتى الـ social activities اللي تكون موجودة العائلة يكونوا معي
فيها ويكون فيها business فا يعني صار جزء من نمط الحياة ايه صار جزء من اء أصلا لو ما سويت شيء زي كذا احس انه فيه, فيها ويكون فيها بزنس فعني صار جزء من نمط الحياة أصلا لو ما سويت شيئ زي كذا حس أنه في
صحيح فيه شيء ناقص فا its part of it حنا أبو فيصل سعداء نستضيفك بصفتك المحافظ لصندوق الاستثمارات العامة, صحيح في سين اغس فإنه أمو فيصل سعدان الصريفك بصفتك المحافظ لصندوق صمارة العامة
denmo denmo الحراك حق التحول الاقتصادي فالسعودية من الفين وخمس طعش إلى اليوم, دينامو الحراك للتحول الاقتصادي في السعودية من 2015 إلى اليوم
اء كنت الرئيس التنفيذي للسعودي الفرنسي capital وقبلها كنت, كنت رئيس تنفيذي للسعود الفرنسي وقبلها كنت
رحت للديوان and it wasnt للصندوق الاستثمارات العامة, رحت للديوان متوازنت لسندوق الاستمرارات الأهمة
i was brought in على شان التأسيس مركز اتخاذ دعم القرار, i was brought in علشان تأسيس مركز اتخاذ دعم القرار
